                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4891,                 4.9252,                 3.7477,                0.75414,                0.03843,                0.01859,                0.00691,                 3.1131,                  3.737,                 3.0004,               0.070041,              0.0033288,              0.0033288
                      1,                  2.603,                 3.4334,                 2.6632,                0.35179,                0.14009,                0.12023,                0.06126,                 2.1507,                   2.67,                  2.034,               0.039909,              0.0065302,              0.0065302
                      2,                 1.9961,                 2.4954,                 2.0462,                0.30316,                0.22232,                0.19724,                0.10857,                  1.869,                 2.2596,                 1.7022,              0.0096451,              0.0095996,              0.0095996
                      3,                 1.7202,                  2.035,                  1.758,                 0.3877,                0.29644,                0.27892,                0.15912,                  1.687,                 1.9172,                 1.5133,               0.009406,               0.009406,               0.009406
                      4,                 1.5764,                 1.7679,                 1.6173,                0.48053,                 0.3368,                0.33737,                0.19822,                 1.5819,                 1.6222,                 1.4313,               0.009406,               0.009406,               0.009406
                      5,                 1.4969,                 1.5953,                 1.5362,                0.53545,                0.38764,                0.38256,                0.23176,                  1.515,                 1.5372,                 1.3638,               0.009208,               0.009208,               0.009208
                      6,                 1.4306,                 1.4431,                 1.4686,                0.54902,                0.39527,                0.40438,                0.24576,                 1.4762,                 1.4405,                 1.3399,                0.00901,                0.00901,                0.00901
                      7,                  1.384,                 1.3559,                 1.4302,                0.60235,                0.42389,                0.45366,                0.27977,                 1.4199,                 1.2906,                 1.3006,               0.008812,               0.008812,               0.008812
                      8,                 1.3569,                 1.2864,                 1.3986,                0.59793,                0.43585,                0.45845,                0.28626,                 1.4036,                 1.3466,                 1.2886,               0.008614,               0.008614,               0.008614
                      9,                 1.3214,                 1.2303,                 1.3748,                0.60052,                0.47363,                0.48901,                0.30989,                 1.3588,                 1.2079,                 1.2567,               0.008416,               0.008416,               0.008416
                     10,                 1.3013,                  1.193,                  1.356,                0.64139,                0.45479,                0.50259,                0.31589,                 1.3562,                 1.1899,                 1.2522,               0.008218,               0.008218,               0.008218
                     11,                 1.2769,                 1.1466,                 1.3358,                0.70531,                 0.4696,                0.53604,                 0.3364,                 1.3318,                 1.1611,                 1.2338,                0.00802,                0.00802,                0.00802
                     12,                 1.2588,                 1.1085,                 1.3149,                0.68239,                0.49467,                0.54935,                0.34977,                 1.3195,                 1.1164,                 1.2207,               0.007822,               0.007822,               0.007822
                     13,                 1.2423,                 1.0884,                 1.3069,                0.66071,                0.50729,                0.55187,                0.35238,                 1.2994,                 1.1001,                 1.2072,               0.007624,               0.007624,               0.007624
                     14,                 1.2241,                 1.0575,                 1.2961,                0.71217,                0.51679,                0.57407,                0.36991,                 1.2838,                 1.0796,                 1.1984,               0.007426,               0.007426,               0.007426
                     15,                 1.2268,                 1.0558,                  1.292,                0.72419,                0.51625,                0.58143,                0.37834,                 1.2734,                 1.0859,                 1.1872,               0.007228,               0.007228,               0.007228
                     16,                 1.2036,                  1.005,                 1.2698,                0.71199,                0.53399,                0.58657,                0.37885,                 1.2686,                  1.027,                 1.1863,                0.00703,                0.00703,                0.00703
                     17,                 1.1913,                 1.0055,                 1.2649,                0.73752,                0.54734,                0.60715,                0.39255,                 1.2593,                 1.0025,                 1.1757,               0.006832,               0.006832,               0.006832
                     18,                 1.1733,                0.98125,                  1.257,                0.75947,                0.54099,                0.61275,                0.39941,                 1.2475,                 1.0074,                 1.1698,               0.006634,               0.006634,               0.006634
                     19,                 1.1702,                0.96508,                  1.247,                0.75642,                0.57021,                0.63442,                0.41645,                 1.2374,                0.97965,                 1.1614,               0.006436,               0.006436,               0.006436
                     20,                 1.1523,                0.94955,                 1.2409,                0.74816,                0.56771,                0.63131,                0.41464,                 1.2378,                0.97446,                 1.1635,               0.006238,               0.006238,               0.006238
                     21,                  1.149,                0.94441,                 1.2393,                  0.753,                0.57693,                0.64031,                0.42182,                 1.2242,                0.95217,                 1.1532,                0.00604,                0.00604,                0.00604
                     22,                 1.1371,                0.92996,                 1.2279,                 0.7598,                0.59139,                0.65019,                0.43047,                 1.2132,                0.94139,                  1.147,               0.005842,               0.005842,               0.005842
                     23,                  1.134,                0.91642,                 1.2224,                0.77054,                0.57831,                0.64902,                0.43036,                 1.2238,                0.92704,                 1.1485,               0.005644,               0.005644,               0.005644
                     24,                 1.1237,                 0.8957,                 1.2114,                0.78657,                 0.5785,                0.66412,                0.44123,                 1.2132,                0.92046,                 1.1391,               0.005446,               0.005446,               0.005446
                     25,                 1.1156,                 0.8836,                 1.2071,                0.78218,                0.58559,                0.66295,                0.43951,                 1.2121,                0.90388,                 1.1401,               0.005248,               0.005248,               0.005248
                     26,                 1.1184,                0.87331,                 1.2046,                0.79287,                0.59628,                0.67075,                0.44594,                  1.199,                0.89438,                 1.1327,                0.00505,                0.00505,                0.00505
                     27,                 1.1022,                0.86891,                 1.1956,                0.79101,                 0.6012,                0.67599,                0.45009,                    1.2,                0.88509,                 1.1296,               0.004852,               0.004852,               0.004852
                     28,                 1.1049,                 0.8533,                 1.1905,                0.77786,                0.60851,                0.67944,                0.45543,                 1.1889,                0.87092,                 1.1241,               0.004654,               0.004654,               0.004654
                     29,                 1.0873,                0.84282,                  1.185,                0.77928,                0.61683,                0.68953,                0.46577,                 1.1787,                0.87842,                 1.1239,               0.004456,               0.004456,               0.004456
                     30,                 1.0783,                0.83479,                 1.1814,                0.77852,                0.62431,                0.69214,                0.46569,                 1.1793,                0.86169,                 1.1181,               0.004258,               0.004258,               0.004258
                     31,                 1.0758,                0.82958,                 1.1772,                0.80669,                0.62534,                0.69764,                0.47027,                 1.1776,                0.86567,                 1.1176,                0.00406,                0.00406,                0.00406
                     32,                 1.0712,                0.82871,                 1.1798,                0.79539,                0.61621,                0.69508,                0.46923,                 1.1753,                0.85247,                 1.1159,               0.003862,               0.003862,               0.003862
                     33,                 1.0602,                0.81311,                 1.1657,                0.78662,                0.62636,                0.69801,                0.46879,                 1.1748,                0.84011,                  1.114,               0.003664,               0.003664,               0.003664
                     34,                 1.0706,                0.80439,                 1.1666,                0.78941,                0.63744,                 0.7056,                0.47755,                 1.1702,                0.84453,                 1.1106,               0.003466,               0.003466,               0.003466
                     35,                 1.0498,                0.79945,                 1.1653,                0.81967,                0.62086,                0.70526,                0.48082,                 1.1674,                0.83722,                  1.108,               0.003268,               0.003268,               0.003268
                     36,                 1.0496,                0.79013,                 1.1645,                0.80767,                0.62819,                  0.704,                  0.479,                 1.1675,                0.82747,                 1.1091,                0.00307,                0.00307,                0.00307
                     37,                 1.0489,                0.78644,                 1.1598,                0.82968,                0.62991,                0.71502,                0.48702,                 1.1596,                 0.8331,                 1.1037,               0.002872,               0.002872,               0.002872
                     38,                  1.041,                0.77632,                   1.15,                0.81764,                0.63621,                0.71589,                0.48771,                 1.1602,                0.82313,                 1.1033,               0.002674,               0.002674,               0.002674
                     39,                 1.0318,                 0.7624,                 1.1476,                0.80352,                0.65208,                0.71772,                0.48838,                 1.1574,                0.81379,                 1.1013,               0.002476,               0.002476,               0.002476
                     40,                 1.0293,                0.75471,                 1.1405,                0.79759,                0.65627,                0.71973,                0.48963,                 1.1569,                0.80771,                 1.1002,               0.002278,               0.002278,               0.002278
                     41,                 1.0171,                0.75063,                 1.1424,                0.82491,                0.63843,                0.72049,                0.49042,                 1.1567,                0.81909,                 1.1013,                0.00208,                0.00208,                0.00208
                     42,                 1.0097,                0.74292,                 1.1407,                0.82059,                0.64378,                0.72198,                0.49486,                 1.1502,                 0.8107,                 1.0969,               0.001882,               0.001882,               0.001882
                     43,                 1.0174,                0.74692,                 1.1417,                0.81525,                0.65604,                0.72611,                0.49613,                 1.1491,                0.80141,                 1.0958,               0.001684,               0.001684,               0.001684
                     44,                 1.0007,                0.72974,                  1.131,                0.82166,                0.65641,                0.72933,                0.49854,                 1.1514,                0.79456,                 1.0958,               0.001486,               0.001486,               0.001486
                     45,                 1.0107,                0.72495,                 1.1269,                0.81588,                0.65727,                0.72784,                0.49832,                 1.1489,                0.79772,                 1.0954,               0.001288,               0.001288,               0.001288
                     46,                 1.0024,                0.71997,                 1.1267,                0.82101,                0.65719,                0.72949,                0.49842,                   1.15,                0.79975,                 1.0942,                0.00109,                0.00109,                0.00109
                     47,                0.98202,                0.70729,                 1.1222,                0.82453,                0.65708,                0.73136,                0.50077,                 1.1466,                0.79736,                 1.0928,               0.000892,               0.000892,               0.000892
                     48,                0.98112,                0.70624,                 1.1199,                 0.8256,                0.65917,                0.73368,                0.50171,                  1.145,                0.79461,                 1.0917,               0.000694,               0.000694,               0.000694
                     49,                0.98286,                0.70873,                 1.1197,                0.82377,                 0.6602,                0.73396,                0.50268,                 1.1454,                 0.7935,                 1.0917,               0.000496,               0.000496,               0.000496
